Month,global,European
197901,-0.2309,-2.4884
197902,-0.4906,-1.4521
197903,-0.2923,-0.2153
197904,-0.3259,-1.9383
197905,-0.2858,0.0358
197906,-0.258,0.4863
197907,-0.3307,-1.8116
197908,-0.2335,-0.9444
197909,-0.1801,-0.3726
197910,-0.1249,-1.5093
197911,-0.1471,-0.1383
197912,0.0667,0.9495
198001,-0.1084,-2.7105
198002,-0.0513,-0.6537
198003,-0.0826,-2.3733
198004,-0.0015,-1.2187
198005,0.0696,-2.2843
198006,-0.08,-0.2565
198007,-0.0425,-1.3699
198008,-0.1085,-0.9606
198009,-0.1715,-0.1515
198010,-0.216,-0.7496
198011,-0.1921,-1.2864
198012,-0.2736,-0.5037
198101,0.0171,-0.6309
198102,-0.0524,-0.5881
198103,0.0305,-0.1641
198104,-0.0306,-1.368
198105,-0.069,-0.4544
198106,-0.0755,0.0278
198107,-0.0747,-0.7207
198108,-0.0603,-0.9023
198109,-0.1398,0.1486
198110,-0.1792,0.4703
198111,-0.1877,-0.4172
198112,-0.0359,-0.8101
198201,-0.3861,-1.5751
198202,-0.2909,-0.7476
198203,-0.443,-0.2517
198204,-0.3551,-1.0202
198205,-0.2111,-0.5389
198206,-0.2463,-0.9952
198207,-0.1711,-0.5444
198208,-0.2779,-0.6014
198209,-0.2693,0.723
198210,-0.2803,-0.4132
198211,-0.2835,0.7152
198212,-0.0342,1.3772
198301,0.0396,1.5708
198302,0.004,-1.3004
198303,0.006,0.0656
198304,-0.0941,0.6819
198305,0.0276,0.1857
198306,-0.092,-0.6637
198307,-0.1496,0.1761
198308,-0.0738,-0.8656
198309,-0.0007,0.4908
198310,-0.2357,-0.2474
198311,-0.1168,-0.7053
198312,-0.2251,0.0027
198401,-0.2111,0.5153
198402,-0.3605,-0.4792
198403,-0.1985,-1.6526
198404,-0.2865,-0.1619
198405,-0.0539,-0.1636
198406,-0.3321,-1.1858
198407,-0.365,-1.3638
198408,-0.2626,-1.3155
198409,-0.2898,-0.2978
198410,-0.2823,0.4627
198411,-0.4153,0.0278
198412,-0.4044,-0.5618
198501,-0.2315,-4.5376
198502,-0.4976,-4.99
198503,-0.3365,-1.8055
198504,-0.2901,-0.6431
198505,-0.276,-0.1725
198506,-0.2926,-1.1504
198507,-0.3687,-0.9707
198508,-0.2183,0.0085
198509,-0.3246,-0.2884
198510,-0.4071,-0.0937
198511,-0.3566,-1.4427
198512,-0.347,-0.4864
198601,-0.2416,-0.5593
198602,-0.1812,-3.8094
198603,-0.2186,-0.114
198604,-0.1173,-0.5656
198605,-0.1084,0.3203
198606,-0.2742,0.3206
198607,-0.2816,-0.8205
198608,-0.2613,-0.6979
198609,-0.3307,-1.2151
198610,-0.3542,-0.167
198611,-0.264,0.4636
198612,-0.2483,-1.5432
198701,-0.1421,-5.4264
198702,-0.0921,-0.5115
198703,-0.2871,-3.9425
198704,-0.1516,-0.938
198705,-0.1118,-1.3979
198706,-0.0174,-0.7827
198707,0.0778,-0.7622
198708,-0.0949,-1.6079
198709,-0.0278,0.3651
198710,-0.1066,0.0205
198711,-0.1359,-0.3245
198712,0.0729,-0.007
198801,0.0599,1.1924
198802,-0.136,0.4612
198803,0.0022,-0.7554
198804,-0.0063,-0.9816
198805,0.0585,0.3086
198806,0.017,-0.0382
198807,-0.0303,0.5133
198808,0.0094,-0.2863
198809,0.0089,0.068
198810,-0.1119,-0.4011
198811,-0.3316,-2.5935
198812,-0.1708,-0.3837
198901,-0.4052,1.6997
198902,-0.1396,2.7524
198903,-0.1631,2.4134
198904,-0.1324,0.7491
198905,-0.2464,0.282
198906,-0.2324,0.0469
198907,-0.0708,-0.2324
198908,-0.1457,-0.1711
198909,-0.0867,0.2279
198910,-0.1352,0.0407
198911,-0.2527,-0.2193
198912,-0.041,0.4869
199001,-0.0391,0.5137
199002,-0.0778,4.5256
199003,0.267,2.3086
199004,0.1301,0.094
199005,0.1443,-0.2101
199006,-0.0106,-0.6565
199007,0.0889,-0.7339
199008,0.0098,-0.2617
199009,-0.0343,-0.9789
199010,0.0814,0.3077
199011,0.1169,0.4262
199012,0.0493,0.404
199101,0.0251,0.4323
199102,0.0746,-1.9259
199103,-0.0586,0.5366
199104,0.0598,-0.6936
199105,-0.0158,-2.155
199106,0.2017,-0.6808
199107,0.1191,0.0957
199108,0.0362,0.1302
199109,-0.0056,0.1842
199110,-0.1087,-0.3471
199111,-0.1209,0.5118
199112,-0.1381,-0.419
199201,-0.0193,0.3778
199202,-0.0535,0.8218
199203,-0.0529,0.7382
199204,-0.237,-1.0456
199205,-0.1777,0.059
199206,-0.1489,-0.3244
199207,-0.2949,-0.8992
199208,-0.3124,0.6447
199209,-0.4129,-0.0587
199210,-0.3618,-2.2952
199211,-0.3805,-0.2749
199212,-0.2644,0.2759
199301,-0.1167,0.8976
199302,-0.1113,-0.0868
199303,-0.1695,-0.6763
199304,-0.1434,-0.2341
199305,-0.1343,0.6121
199306,-0.1288,-1.034
199307,-0.1836,-1.2909
199308,-0.2087,-0.8951
199309,-0.3204,-1.8176
199310,-0.1906,-0.7986
199311,-0.3052,-3.3141
199312,-0.154,1.0237
199401,-0.2047,1.5458
199402,-0.4391,-1.6801
199403,-0.2242,0.7388
199404,-0.098,0.5979
199405,-0.1875,-0.5738
199406,-0.0802,-0.6082
199407,-0.1083,1.0911
199408,-0.2085,0.3751
199409,-0.0425,1.008
199410,-0.0524,-0.3313
199411,-0.0121,0.4862
199412,-0.0731,0.6489
199501,0.0618,0.5295
199502,0.2625,3.407
199503,-0.0415,0.5276
199504,0.0632,-0.2229
199505,-0.0743,-0.2072
199506,0.0877,0.5065
199507,0.0624,0.0442
199508,0.0689,-0.0216
199509,-0.0044,-0.5217
199510,0.0447,0.9281
199511,0.0131,-1.4311
199512,-0.1416,-1.766
199601,-0.1686,-0.6934
199602,-0.0248,-2.3124
199603,-0.1161,-2.1116
199604,-0.1619,-0.4126
199605,-0.2063,0.0247
199606,-0.142,-0.0859
199607,-0.0401,-0.9799
199608,0.0642,0.086
199609,-0.1313,-1.9131
199610,-0.2007,-0.072
199611,0.0179,1.421
199612,-0.0471,-0.9581
199701,-0.1784,-0.452
199702,-0.1172,1.4756
199703,0.024,0.3662
199704,-0.1454,-1.9067
199705,-0.0915,-0.2432
199706,0.0937,0.2457
199707,-0.0057,-0.4142
199708,0.0418,0.4711
199709,0.1316,-0.4774
199710,0.1867,-1.0659
199711,0.2191,0.3812
199712,0.151,0.2575
199801,0.143,1.522
199802,0.3514,1.2375
199803,0.1589,-0.6366
199804,0.3034,-0.0597
199805,0.3391,-0.0521
199806,0.357,0.5767
199807,0.2881,-0.1444
199808,0.3172,-0.3156
199809,0.1434,0.0879
199810,0.062,-0.1444
199811,-0.0017,-2.336
199812,0.1115,-0.8942
199901,-0.036,0.5776
199902,0.1493,-0.1815
199903,-0.1965,0.6917
199904,-0.1209,1.2108
199905,-0.1364,-0.4966
199906,-0.0584,1.3581
199907,-0.0356,0.8975
199908,-0.0618,-0.1116
199909,-0.0045,1.3938
199910,-0.0618,0.6326
199911,-0.0657,-0.4742
199912,-0.0247,0.751
200001,-0.1986,-0.4047
200002,0.0608,1.9959
200003,-0.0243,0.3657
200004,0.0999,1.6881
200005,-0.0597,0.6129
200006,-0.0702,0.2293
200007,-0.0714,-0.4121
200008,0.0007,0.2182
200009,-0.0425,-0.2207
200010,-0.1561,1.0481
200011,-0.1091,1.9832
200012,-0.1434,1.9841
200101,-0.0388,2.0366
200102,-0.0855,0.1561
200103,0.0351,0.6513
200104,0.0292,0.5022
200105,0.1151,-0.0971
200106,0.0628,-0.1678
200107,0.1458,1.1762
200108,0.1248,0.6924
200109,0.1181,-0.0695
200110,0.1336,1.536
200111,0.337,-0.4699
200112,0.229,-2.6743
200201,0.2862,0.3192
200202,0.1891,3.5768
200203,0.3853,1.7094
200204,0.1189,0.4411
200205,0.2409,0.6898
200206,0.197,0.9634
200207,0.2003,0.9282
200208,0.1292,0.423
200209,0.2015,-0.2492
200210,0.1587,-1.1085
200211,0.1827,0.4202
200212,0.0767,-2.1537
200301,0.2975,-0.8213
200302,0.1097,-1.5466
200303,0.0283,0.0724
200304,0.0625,-0.5792
200305,0.1472,1.5892
200306,0.035,0.9672
200307,0.1191,1.2131
200308,0.2217,1.3163
200309,0.27,0.1267
200310,0.3437,-1.0768
200311,0.1999,1.4988
200312,0.3762,0.9312
200401,0.1492,-0.4183
200402,0.2243,0.5859
200403,0.1831,0.6295
200404,0.1682,0.2586
200405,-0.0494,-0.9764
200406,0.0804,-0.3089
200407,-0.1095,-0.2913
200408,0.0142,0.4429
200409,0.1562,0.5561
200410,0.2463,0.8552
200411,0.3085,-0.0579
200412,0.1031,1.2927
200501,0.3385,1.7803
200502,0.2032,-1.357
200503,0.2828,-1.508
200504,0.253,0.6151
200505,0.2305,0.4374
200506,0.2503,0.1951
200507,0.2516,0.6065
200508,0.2053,-0.0422
200509,0.3259,0.8242
200510,0.4115,0.7673
200511,0.3688,0.688
200512,0.2999,0.2231
200601,0.1472,-1.74
200602,0.2866,-1.7056
200603,0.1829,-1.6704
200604,0.1126,0.6339
200605,0.0892,0.3659
200606,0.255,1.0042
200607,0.1696,1.1158
200608,0.2467,0.3744
200609,0.2443,1.4959
200610,0.3775,1.4249
200611,0.3384,1.4323
200612,0.3941,2.8547
200701,0.5542,2.8475
200702,0.2852,-0.0196
200703,0.195,2.3764
200704,0.3563,0.8502
200705,0.2448,1.1618
200706,0.15,1.0985
200707,0.1726,0.2587
200708,0.157,0.8231
200709,0.1064,-0.1988
200710,0.2256,0.5059
200711,0.1986,-0.5872
200712,0.1096,1.0854
200801,-0.1371,1.5206
200802,-0.1235,2.5805
200803,0.2131,1.0544
200804,0.0559,0.8811
200805,0.0557,-0.0688
200806,-0.0246,0.2522
200807,0.1429,0.0197
200808,0.0967,0.3543
200809,0.1661,-0.5686
200810,0.2767,0.6831
200811,0.2888,0.9618
200812,0.1549,1.0906
200901,0.2507,0.0738
200902,0.1625,0.3131
200903,0.0731,0.1956
200904,0.1225,0.7408
200905,0.1568,0.7318
200906,0.1782,0.3618
200907,0.304,0.3159
200908,0.2209,0.3714
200909,0.3,0.9769
200910,0.3196,-0.1188
200911,0.3783,2.1914
200912,0.267,0.0266
201001,0.3847,-2.6938
201002,0.4194,-0.6482
201003,0.4633,-0.1529
201004,0.435,0.888
201005,0.3593,0.4258
201006,0.2604,0.5281
201007,0.2183,2.128
201008,0.2219,1.3648
201009,0.2953,0.1981
201010,0.356,-1.0025
201011,0.3712,1.0391
201012,0.0972,-2.0591
201101,0.1006,0.1525
201102,0.0213,-1.5643
201103,0.1357,0.0231
201104,0.1962,1.6998
201105,0.1191,0.5749
201106,0.1943,0.8608
201107,0.3093,0.5373
201108,0.2865,0.403
201109,0.2436,1.5995
201110,0.2692,0.2543
201111,0.1428,0.7919
201112,0.1609,2.6123
201201,0.0255,0.1851
201202,0.0183,-3.4409
201203,0.0581,0.9819
201204,0.2369,0.4382
201205,0.3344,0.9979
201206,0.2933,0.781
201207,0.2066,0.8811
201208,0.2521,0.8043
201209,0.3091,0.8436
201210,0.4588,0.6276
201211,0.4333,1.889
201212,0.1668,-1.1658
201301,0.3378,0.2221
201302,0.2129,1.0675
201303,0.2182,-2.2672
201304,0.1462,0.3345
201305,0.1823,1.1632
201306,0.2813,0.9013
201307,0.1413,0.511
201308,0.2303,0.7622
201309,0.3659,-0.008
201310,0.291,0.8966
201311,0.3871,1.7406
201312,0.3255,1.4967
201401,0.3174,0.7678
201402,0.1003,3.3479
201403,0.284,2.5757
201404,0.2914,1.4994
201405,0.344,0.5148
201406,0.2466,-0.104
201407,0.2333,1.0167
201408,0.3127,0.4251
201409,0.3816,0.9485
201410,0.4039,0.6181
201411,0.2891,1.4163
201412,0.3874,1.3797
201501,0.3829,1.3269
201502,0.3949,1.6238
201503,0.422,1.7242
201504,0.2383,0.4535
201505,0.3373,0.5235
201506,0.3607,0.1659
201507,0.3212,0.4683
201508,0.4189,1.3138
201509,0.464,1.4278
201510,0.6816,-0.1162
201511,0.6238,2.3304
201512,0.7384,3.1677
201601,0.7414,-0.7754
201602,0.8838,3.741
201603,0.8191,1.2016
201604,0.7114,1.3802
201605,0.576,0.8307
201606,0.4357,1.0817
201607,0.528,0.9624
201608,0.5779,0.7068
201609,0.5549,1.393
201610,0.5819,-0.2238
201611,0.6427,-0.1753
201612,0.5345,0.8351
201701,0.5938,-0.8736
201702,0.6955,1.6966
201703,0.6929,2.4722
201704,0.5101,-0.1844
201705,0.5332,0.1728
201706,0.3764,0.9015
201707,0.4331,0.2244
201708,0.4726,1.0374
201709,0.4767,0.641
201710,0.5997,0.6691
201711,0.4858,0.7455
201712,0.5709,2.0361
201801,0.4311,2.068
201802,0.4586,-0.9226
201803,0.4665,-1.4203
201804,0.487,2.3807
201805,0.4125,2.3635
201806,0.3995,0.8258
201807,0.4458,1.6548
201808,0.3851,1.4458
201809,0.3966,1.6473
201810,0.5949,1.0261
201811,0.4761,1.2442
201812,0.53,1.2649
201901,0.4747,-0.1721
201902,0.5044,2.7034
201903,0.7014,1.6745
201904,0.6191,0.9765
201905,0.5174,0.0202
201906,0.5431,2.3479
201907,0.5644,0.0405
201908,0.5327,0.8795
201909,0.5759,0.7277
201910,0.6935,1.099
201911,0.6428,1.5216
201912,0.7385,3.2433
202001,0.7715,3.0843
202002,0.7952,3.8481
202003,0.6809,1.9732
202004,0.7021,0.5697
202005,0.6266,-0.3196
202006,0.5346,1.3543
202007,0.4928,0.242
202008,0.4434,1.1078
202009,0.6307,1.8179
202010,0.6162,1.6132
202011,0.775,2.1579
202012,0.434,2.2955
202101,0.4336,0.5238
202102,0.2562,0.3797
202103,0.3828,0.3818
202104,0.3724,-0.3772
202105,0.418,-0.1487
202106,0.387,1.9899
202107,0.4983,1.8163
202108,0.4877,0.5101
202109,0.5985,0.2223
202110,0.6616,0.3263
202111,0.5839,1.1361
202112,0.5212,0.4161
202201,0.4676,1.2301
202202,0.4257,2.9414
202203,0.5872,0.1223
202204,0.4651,0.0402
202205,0.4165,0.5758
202206,0.4824,2.0492
202207,0.5449,1.1209
202208,0.4723,2.248
202209,0.5465,0.0305
202210,0.6492,2.1324
202211,0.4001,1.9472
202212,0.4697,1.5166
202301,0.4369,2.6361
202302,0.4886,1.7775