date,1981-2010,1991-2020
2000-01,-0.1986,-0.3892
2000-02,0.0608,-0.1362
2000-03,-0.0243,-0.2183
2000-04,0.0999,-0.0825
2000-05,-0.0597,-0.2207
2000-06,-0.0702,-0.2442
2000-07,-0.0714,-0.2388
2000-08,0.0007,-0.1756
2000-09,-0.0425,-0.2389
2000-10,-0.1561,-0.3961
2000-11,-0.1091,-0.3467
2000-12,-0.1434,-0.3424
2001-01,-0.0388,-0.2294
2001-02,-0.0855,-0.2825
2001-03,0.0351,-0.1589
2001-04,0.0292,-0.1532
2001-05,0.1151,-0.0459
2001-06,0.0628,-0.1112
2001-07,0.1458,-0.0215
2001-08,0.1248,-0.0515
2001-09,0.1181,-0.0784
2001-10,0.1336,-0.1064
2001-11,0.337,0.0995
2001-12,0.229,0.03
2002-01,0.2862,0.0956
2002-02,0.1891,-0.0078
2002-03,0.3853,0.1913
2002-04,0.1189,-0.0635
2002-05,0.2409,0.0799
2002-06,0.197,0.0229
2002-07,0.2003,0.0329
2002-08,0.1292,-0.0471
2002-09,0.2015,0.005
2002-10,0.1587,-0.0813
2002-11,0.1827,-0.0549
2002-12,0.0767,-0.1223
2003-01,0.2975,0.1069
2003-02,0.1097,-0.0872
2003-03,0.0283,-0.1657
2003-04,0.0625,-0.1199
2003-05,0.1472,-0.0137
2003-06,0.035,-0.1391
2003-07,0.1191,-0.0483
2003-08,0.2217,0.0454
2003-09,0.27,0.0736
2003-10,0.3437,0.1036
2003-11,0.1999,-0.0376
2003-12,0.3762,0.1772
2004-01,0.1492,-0.0414
2004-02,0.2243,0.0273
2004-03,0.1831,-0.0109
2004-04,0.1682,-0.0142
2004-05,-0.0494,-0.2103
2004-06,0.0804,-0.0937
2004-07,-0.1095,-0.2769
2004-08,0.0142,-0.1621
2004-09,0.1562,-0.0403
2004-10,0.2463,0.0063
2004-11,0.3085,0.071
2004-12,0.1031,-0.0959
2005-01,0.3385,0.1479
2005-02,0.2032,0.0063
2005-03,0.2828,0.0888
2005-04,0.253,0.0706
2005-05,0.2305,0.0695
2005-06,0.2503,0.0762
2005-07,0.2516,0.0843
2005-08,0.2053,0.029
2005-09,0.3259,0.1294
2005-10,0.4115,0.1715
2005-11,0.3688,0.1313
2005-12,0.2999,0.1009
2006-01,0.1472,-0.0434
2006-02,0.2866,0.0897
2006-03,0.1829,-0.0111
2006-04,0.1126,-0.0698
2006-05,0.0892,-0.0718
2006-06,0.255,0.0809
2006-07,0.1696,0.0023
2006-08,0.2467,0.0704
2006-09,0.2443,0.0479
2006-10,0.3775,0.1375
2006-11,0.3384,0.1009
2006-12,0.3941,0.1951
2007-01,0.5542,0.3636
2007-02,0.2852,0.0883
2007-03,0.195,0.001
2007-04,0.3563,0.1739
2007-05,0.2448,0.0838
2007-06,0.15,-0.024
2007-07,0.1726,0.0053
2007-08,0.157,-0.0193
2007-09,0.1064,-0.09
2007-10,0.2256,-0.0145
2007-11,0.1986,-0.0389
2007-12,0.1096,-0.0894
2008-01,-0.1371,-0.3276
2008-02,-0.1235,-0.3205
2008-03,0.2131,0.0191
2008-04,0.0559,-0.1265
2008-05,0.0557,-0.1053
2008-06,-0.0246,-0.1986
2008-07,0.1429,-0.0245
2008-08,0.0967,-0.0796
2008-09,0.1661,-0.0303
2008-10,0.2767,0.0367
2008-11,0.2888,0.0513
2008-12,0.1549,-0.0441
2009-01,0.2507,0.0601
2009-02,0.1625,-0.0344
2009-03,0.0731,-0.1209
2009-04,0.1225,-0.0599
2009-05,0.1568,-0.0041
2009-06,0.1782,0.0042
2009-07,0.304,0.1366
2009-08,0.2209,0.0446
2009-09,0.3,0.1035
2009-10,0.3196,0.0796
2009-11,0.3783,0.1407
2009-12,0.267,0.0679
2010-01,0.3847,0.1941
2010-02,0.4194,0.2225
2010-03,0.4633,0.2693
2010-04,0.435,0.2526
2010-05,0.3593,0.1983
2010-06,0.2604,0.0863
2010-07,0.2183,0.0509
2010-08,0.2219,0.0456
2010-09,0.2953,0.0988
2010-10,0.356,0.1159
2010-11,0.3712,0.1336
2010-12,0.0972,-0.1018
2011-01,0.1006,-0.09
2011-02,0.0213,-0.1757
2011-03,0.1357,-0.0583
2011-04,0.1962,0.0138
2011-05,0.1191,-0.0418
2011-06,0.1943,0.0202
2011-07,0.3093,0.142
2011-08,0.2865,0.1102
2011-09,0.2436,0.0471
2011-10,0.2692,0.0291
2011-11,0.1428,-0.0948
2011-12,0.1609,-0.0382
2012-01,0.0255,-0.1651
2012-02,0.0183,-0.1787
2012-03,0.0581,-0.1359
2012-04,0.2369,0.0545
2012-05,0.3344,0.1735
2012-06,0.2933,0.1192
2012-07,0.2066,0.0392
2012-08,0.2521,0.0758
2012-09,0.3091,0.1127
2012-10,0.4588,0.2187
2012-11,0.4333,0.1958
2012-12,0.1668,-0.0322
2013-01,0.3378,0.1472
2013-02,0.2129,0.016
2013-03,0.2182,0.0242
2013-04,0.1462,-0.0362
2013-05,0.1823,0.0214
2013-06,0.2813,0.1072
2013-07,0.1413,-0.0261
2013-08,0.2303,0.0541
2013-09,0.3659,0.1695
2013-10,0.291,0.051
2013-11,0.3871,0.1495
2013-12,0.3255,0.1264
2014-01,0.3174,0.1268
2014-02,0.1003,-0.0966
2014-03,0.284,0.09
2014-04,0.2914,0.109
2014-05,0.344,0.1831
2014-06,0.2466,0.0725
2014-07,0.2333,0.0659
2014-08,0.3127,0.1364
2014-09,0.3816,0.1851
2014-10,0.4039,0.1638
2014-11,0.2891,0.0516
2014-12,0.3874,0.1884
2015-01,0.3829,0.1923
2015-02,0.3949,0.1979
2015-03,0.422,0.228
2015-04,0.2383,0.0559
2015-05,0.3373,0.1763
2015-06,0.3607,0.1867
2015-07,0.3212,0.1538
2015-08,0.4189,0.2426
2015-09,0.464,0.2676
2015-10,0.6816,0.4415
2015-11,0.6238,0.3862
2015-12,0.7384,0.5394
2016-01,0.7414,0.5509
2016-02,0.8838,0.6868
2016-03,0.8191,0.6251
2016-04,0.7114,0.529
2016-05,0.576,0.415
2016-06,0.4357,0.2616
2016-07,0.528,0.3607
2016-08,0.5779,0.4016
2016-09,0.5549,0.3584
2016-10,0.5819,0.3419
2016-11,0.6427,0.4052
2016-12,0.5345,0.3355
2017-01,0.5938,0.4033
2017-02,0.6955,0.4986
2017-03,0.6929,0.4989
2017-04,0.5101,0.3277
2017-05,0.5332,0.3723
2017-06,0.3764,0.2023
2017-07,0.4331,0.2657
2017-08,0.4726,0.2963
2017-09,0.4767,0.2802
2017-10,0.5997,0.3596
2017-11,0.4858,0.2483
2017-12,0.5709,0.3718
2018-01,0.4311,0.2405
2018-02,0.4586,0.2617
2018-03,0.4665,0.2725
2018-04,0.487,0.3046
2018-05,0.4125,0.2515
2018-06,0.3995,0.2254
2018-07,0.4458,0.2785
2018-08,0.3851,0.2088
2018-09,0.3966,0.2001
2018-10,0.5949,0.3549
2018-11,0.4761,0.2386
2018-12,0.53,0.331
2019-01,0.4747,0.2841
2019-02,0.5044,0.3075
2019-03,0.7014,0.5074
2019-04,0.6191,0.4366
2019-05,0.5174,0.3565
2019-06,0.5431,0.369
2019-07,0.5644,0.397
2019-08,0.5327,0.3564
2019-09,0.5759,0.3794
2019-10,0.6935,0.4534
2019-11,0.6428,0.4052
2019-12,0.7385,0.5394
2020-01,0.7715,0.581
2020-02,0.7952,0.5982
2020-03,0.6809,0.4869
2020-04,0.7021,0.5197
2020-05,0.6266,0.4657
2020-06,0.5346,0.3606
2020-07,0.4928,0.3254
2020-08,0.4434,0.2671
2020-09,0.6307,0.4342
2020-10,0.6162,0.3762
2020-11,0.775,0.5375
2020-12,0.434,0.235
2021-01,0.4336,0.243
2021-02,0.2562,0.0593
2021-03,0.3828,0.1888
2021-04,0.3724,0.19
2021-05,0.418,0.2571
2021-06,0.387,0.2129
2021-07,0.4983,0.3309
2021-08,0.4877,0.3114
2021-09,0.5985,0.4021
2021-10,0.6616,0.4216
2021-11,0.5839,0.3463
2021-12,0.5212,0.3222
2022-01,0.4676,0.2771
2022-02,0.4257,0.2288
2022-03,0.5872,0.3932
2022-04,0.4651,0.2827
2022-05,0.4165,0.2555
2022-06,0.4824,0.3083
2022-07,0.5449,0.3775
2022-08,0.4723,0.296
2022-09,0.5465,0.3501
2022-10,0.6492,0.4092
2022-11,0.4001,0.1625
2022-12,0.4697,0.2707
2023-01,0.4369,0.2463
2023-02,0.4886,0.2917