aghiosnikolaos;3;A06;15.7;16.6;18.2;21.1;24.8;29;31.4;31.6;28.8;24.5;20.9;17.2;35.1914;25.7209
alexandroupolis;10;A01;9.1;11.2;14.1;18.8;23.9;28.5;31.7;32.9;27.7;20.5;16.1;11;40.87631;25.85828
amfiklia;14;A04;11.1;13.4;16.7;21.7;26;30;32.9;32.8;28.7;21.8;17.2;12.6;38.61142;22.64053
argos;29;A05;14.2;15.9;18.4;22.7;27;31.6;34.6;34.9;30.2;24.7;20;15.4;37.62811;22.71340
arta;31;A02;13.3;15.2;18;22;25.4;30.6;33.7;34.7;29.6;24.3;19.7;15;39.17278;20.99943
athens;35;A04;13.7;15.2;17.6;21.6;26;30.7;33.5;33.6;29.5;23.8;19.7;15.2;37.978408;23.71544
chania;39;A06;15.2;16.7;18.6;22.2;26.2;30.3;32.5;32.2;29.8;24.9;21;16.8;35.53336;24.06834
dion;45;A01;10.2;12.4;15.8;20.7;26.3;31.6;33.8;34.2;28.7;21.9;17.1;12;40.22363;22.47070
drama;51;A01;8.3;11.6;15.6;20.6;25.4;29.7;32.1;33.2;28.5;21.2;15.9;9.8;41.11782;24.143734
florina;58;A01;4.2;8.7;13;18;21.9;26.5;29.7;30.2;25.2;18.9;13.3;6.9;40.79494;21.420556
grevena;69;A01;7.8;10.8;15.1;20;23.8;28.6;32.2;32.5;27.1;19.9;14.5;9.3;40.0866;21.442
heraclion;70;A06;15.3;16.4;18.2;21.4;25;28.3;30;29.7;27.7;23.7;20.7;16.7;35.30075;25.163781
igoumenitsa;75;A02;13;14.7;16.9;20.8;24.2;29.3;32.2;32.9;28.2;23.4;19.3;14.6;39.54174;20.279881
ioannina;79;A02;9.9;12.1;15.4;20.3;23.5;28.7;32.3;33.1;27.6;21.5;16.2;10.9;39.622061;20.864350
ithaki;85;A02;14;15.3;17.6;21.6;25.2;30.3;33.2;34;29.3;24.1;20;15.8;38.364249;20.717326
karpenisi;94;A04;8;9.7;12.8;17.7;21.3;25.9;29.3;29.6;25;19.1;14.8;10;38.86899;21.75207
kea;104;A07;12.4;13.7;15.3;18.7;23.2;27.2;29.2;28.8;26.2;21.2;17.9;14;37.665689;24.396392
kerkyra;107;A02;13.7;14.9;17.1;20.7;23.9;28.8;31.6;32.4;28.2;23.6;19.7;15.6;39.647164;19.853211
kilkis;108;A01;8.2;11;14.9;19.8;24.6;29.5;32.7;33.1;27.7;20.5;15.7;10.1;41.010394;22.878884
kyparissia;121;A05;15.2;16.8;18.4;21.3;24.6;28.3;30.6;31.6;28.3;24.4;20.9;16.5;37.238147;21.65334
larissa;128;A03;10.9;14;17.7;22.8;27.7;32.4;35;35;30.3;23.1;17.8;12.1;39.62753;22.39883
lavrio;129;A04;13.7;14.9;16.7;20;24.3;28.4;30.9;30.6;27.6;22.7;19.2;15.3;37.7166;24.058
lefkada;130;A02;13.7;15;17.1;20.5;23.9;28.3;30.8;31.6;27.7;23.3;19.7;15.2;38.830648;20.711752
lemnos;132;A07;11.2;12.6;14.8;19;24.1;29.1;31.8;31.8;27.5;21;17.4;12.9;39.912736;25.20042427
livadeia;136;A04;11.9;14.3;17.4;22.6;27.2;31.7;33.9;33.3;29.5;22.7;18.4;13.5;38.45389;22.914198
megalopoli;144;A05;11.7;13.4;16.5;20.9;24.8;29.8;33;33.5;29;23;18.2;13.5;37.401816;22.141593
moires;151;A06;16;17.2;19.2;22.9;26.7;31.3;34.5;34.6;30.9;26.2;22.1;17.7;35.030074;24.834587
mornos1;155;A04;10.2;12;15.1;19.8;23.3;28.3;31.9;32.4;27.2;21.8;16.8;12;38.523067;22.122221
naousa;161;A01;7.5;9.9;13.8;18.9;23.3;28.3;31;31.2;25.6;18.9;14;9.4;40.624855;22.070141
nemea;165;A05;12.2;13.8;16.6;21.1;25.9;30.6;33.4;33.5;29;22.7;18.3;13.9;37.833600;22.654205
nevrokopi;167;A01;5.2;9.3;13.3;18.4;22.6;26.9;30.3;31.1;26;19.2;13.6;6.8;41.336361;23.870063
orestiada;172;A01;6.9;10.4;14.8;20.5;26;30.3;32.9;33.5;28.6;20.4;15.5;9;41.485584;26.534558
paros;185;A07;14.6;15.7;17.1;20.2;24;27.6;29.3;29.2;27.1;22.8;19.8;16;37.037222;25.106667
patra;188;A05;13.8;14.8;16.4;19.6;22.7;27.1;29.9;31.5;27.4;23.1;19.9;15.5;38.259031;21.735215
pirgos;197;A05;15.2;16.4;18.6;22.3;25.6;30.1;33;33.8;29.5;24.8;21;16.6;37.66944;21.43806
polygyros;202;A01;7.3;9.1;12;16.7;21.3;25.8;28.3;28.8;24;17.7;13.7;9.1;40.373429;23.444077
ptolemaida;209;A01;6.5;9.9;14;19.1;23.1;28;31.1;31.5;26.2;19.7;14.4;8.6;40.498786;21.676342
rethymno;210;A06;15.4;16.4;17.9;20.5;23.9;27.2;29.3;29.5;27.6;23.6;20.6;17;35.369029;24.444684
samos;217;A07;13.6;15.3;17.1;20.5;24.3;28.5;30.8;31;27.7;23;19.4;15.2;37.795072;26.707903
samothraki;218;A01;10.7;12.2;14.4;18.6;23.9;28.4;31.3;32;27.3;20.7;17.1;12.5;40.462;25.50109
skopelos;227;A03;12.3;13.8;15.7;18.8;23.4;27.4;29.4;29.2;26;21;18;13.8;39.12172;23.72651
sparti;229;A05;14;15.7;18.7;23.1;27.6;32.5;35.8;35.9;31.4;24.8;19.8;15.7;37.053581;22.437633
tanagra;237;A04;12.2;13.9;16.7;21.1;26.3;31;33.6;33.3;29.3;22.9;18.5;13.9;38.3325;23.583889
thessaloniki;240;A01;9.6;12.5;15.5;20.4;25.6;30.2;32.3;32.3;27.7;21.9;16.9;11.3;40.585531;22.9375507
tinos;241;A07;13.8;15;16.3;19.4;23.2;27.4;29.5;29.2;26.7;22.2;19;15.3;37.538241;25.162004
trikala;242;A03;9.9;13;16.8;22.1;26.7;31.8;34.4;34.3;29.4;22;16.5;11.5;39.55857;21.76247
tripoli;244;A05;10.1;11.9;15.1;19.6;24;29;32.3;32.4;27.9;21.6;16.7;12;37.509202;22.417536
vatopedi;254;A01;10.9;12.3;15.1;19.9;25.3;30.1;33.1;33;27.7;20.7;17;12.5;40.3154;24.21062
veroia;256;A01;9.8;12.4;16.5;21.5;26;31.1;33.3;33.7;28.5;21.9;16.8;11.6;40.55095;22.24469
volos;259;A03;11.8;14.1;17;21.4;26.3;30.8;33.2;33.1;28.7;22.2;18;13.1;39.374467;22.9619388
xanthi;265;A01;9.7;11.9;15.2;19.9;25.1;29.5;32;33.4;28.5;21.4;16.8;11.7;41.090406;24.882442
lindos;275;A07;15.9;17.1;19;22.6;26.6;31.7;35.1;35;31.5;26.6;21.9;17.9;36.090869;28.086268
gavalou;320;A04;12.9;15.7;18.7;23.6;26.9;32.3;35.6;35.7;30.6;24.7;19.4;14.2;38.5293;21.5304